0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31,,32,,33,,34,,35,,36,,37,,38,,39,,40,,41,,42,,43,,44,,45,,46,,47,,48,,49,,50
UM,0.00151896,0.000494003,0.000566006,0.000561953,0.000642061,0.00070405,0.000779867,0.000818968,0.000893116,0.000976086,0.00104308,0.00107384,0.00120902,0.00128388,0.00134301,0.00138497,0.001472,0.00152898,0.00153494,0.00171089,0.00173903,0.0018549,0.00183487,0.00190687,0.00204515,0.00196695,0.00204492,0.00213599,0.00222087,0.00240111,0.00239801,0.00247788,0.00250292,0.00255013,0.00255513,0.00265884,0.00274086,0.0028038,0.00286603,0.00286102,0.00306606,0.00294805,0.00315189,0.00317001,0.00322986,0.00348306,0.00326204,0.00355291,0.00350595,0.00356603,0.00382805,0.00360298,0.00404692,0.00378394,0.00409508,0.004076,0.00419497,0.00416994,0.00432301,0.00427008,0.00438809,0.00442314,0.0044148,0.00442696,0.0045898,0.00460792,0.00455213,0.00503707,0.00509501,0.00479198,0.00475192,0.0049181,0.00524306,0.00496793,0.00518703,0.00553894,0.0051868,0.0056901,0.00581598,0.00543284,0.00578594,0.00574398,0.00602102,0.00600696,0.00585985,0.00578308,0.00605297,0.00631094,0.00598097,0.00598288,0.00646901,0.00660086,0.00680709,0.00651288,0.00682998,0.00687504,0.00656009,0.00700498,0.00660896,0.00677586
ST,0.00134802,0.000678062,0.000609875,0.000705004,0.00075984,0.000853062,0.000921011,0.000995159,0.00108624,0.00119114,0.00119305,0.0012989,0.00141406,0.00148988,0.00155902,0.00164318,0.001647,0.00170183,0.00189185,0.00200295,0.00195193,0.00210094,0.00207806,0.00224996,0.00231504,0.00231504,0.00239396,0.00241804,0.00249815,0.00275517,0.00269699,0.00272894,0.00288296,0.00285292,0.00310397,0.00311685,0.00304508,0.00337005,0.00335693,0.00334787,0.00330591,0.00339508,0.00352597,0.00372195,0.00364208,0.00380111,0.00392199,0.00408506,0.00412202,0.0040381,0.00425196,0.00408506,0.00451303,0.004282,0.00441313,0.00449204,0.00469398,0.00501108,0.00457096,0.00464296,0.00493789,0.00530005,0.00496006,0.00499392,0.005023,0.00557804,0.00560403,0.00531912,0.00547004,0.00573897,0.00560188,0.00588298,0.00608397,0.00588107,0.00588608,0.005934,0.0058918,0.00612903,0.00635791,0.00621486,0.00669098,0.00645208,0.00671887,0.00636196,0.00652194,0.00690603,0.00713921,0.00689387,0.00710702,0.00738692,0.00744581,0.00716591,0.00730205,0.00729108,0.007689,0.00772786,0.00716281,0.00792408,0.00752306,0.00760508
1,0.00145292,0.000516891,0.000491858,0.000568151,0.000706911,0.000700951,0.000806093,0.000880957,0.000948906,0.0010078,0.001086,0.00113392,0.00117707,0.00123405,0.00133896,0.00145793,0.00145507,0.00161195,0.00163698,0.00166821,0.00170517,0.00188398,0.00189996,0.00203705,0.00197005,0.00220299,0.0021801,0.00221491,0.00234008,0.00233412,0.00240922,0.00261807,0.00268698,0.00263786,0.00277901,0.00291491,0.00299287,0.0028491,0.00293112,0.00293612,0.00330806,0.00334501,0.00340199,0.00345302,0.003371,0.003582,0.00352287,0.00370598,0.00374699,0.00386691,0.00385499,0.00383902,0.00403214,0.00419998,0.00399494,0.004004,0.00414419,0.00430512,0.00446105,0.00425196,0.00456595,0.00452709,0.00475717,0.00446606,0.00473809,0.00474,0.00512099,0.005162,0.005234,0.00525117,0.005409,0.00534081,0.0053401,0.00562811,0.00560999,0.00570011,0.00561094,0.00569105,0.00587988,0.00571799,0.00579095,0.00581908,0.00576615,0.00623202,0.00584602,0.00619102,0.00595117,0.00612092,0.00635481,0.00653791,0.00628614,0.00691605,0.00654507,0.00644684,0.00708604,0.006917,0.00691795,0.00692892,0.00711799,0.00752878
2,0.001405,0.000545025,0.000445843,0.000519037,0.000588894,0.000602007,0.000638008,0.000725031,0.000771999,0.000808001,0.000889063,0.000931025,0.000916958,0.000972986,0.00098896,0.00106716,0.00117898,0.00124097,0.00127602,0.00135684,0.00145507,0.00142908,0.00146794,0.00155902,0.00149488,0.0016551,0.0017252,0.00169492,0.00183702,0.00178194,0.00184202,0.00198698,0.00199604,0.00198102,0.00200295,0.00222516,0.00207996,0.0022788,0.00215292,0.00231385,0.00241208,0.00237393,0.00237203,0.00255609,0.00266099,0.00255585,0.00263,0.00250483,0.002774,0.00287914,0.00281906,0.00276995,0.00302911,0.00313401,0.00303006,0.00317216,0.00300598,0.00324798,0.00326395,0.00334716,0.00344014,0.00352287,0.00325418,0.00353599,0.00354385,0.00348806,0.00336099,0.00376201,0.00345612,0.00353122,0.00356483,0.00374198,0.00398684,0.00400901,0.00424504,0.00408101,0.00407577,0.00407004,0.00399995,0.00406003,0.00415802,0.00417686,0.004601,0.00479198,0.00428987,0.00444007,0.00429797,0.0049181,0.0049808,0.00454497,0.00480509,0.00487304,0.00470996,0.0049572,0.00489497,0.00505519,0.00521588,0.0050509,0.00528502,0.00558305
4,0.00159216,0.000478029,0.000634909,0.000618935,0.000611067,0.000733137,0.000703096,0.000730038,0.000808001,0.000887871,0.000874043,0.000961065,0.00103402,0.00107408,0.00108409,0.00119495,0.00124812,0.00133705,0.00141382,0.0014689,0.00148797,0.00144815,0.00167394,0.00168991,0.00183511,0.00180507,0.00192094,0.00187087,0.00199294,0.00219202,0.00213408,0.00215197,0.00226402,0.00221109,0.00226903,0.00223303,0.00229216,0.00242305,0.00247288,0.00264502,0.00274706,0.00255084,0.0028379,0.00268793,0.00268412,0.00295401,0.00274277,0.00308108,0.00301623,0.0031991,0.00307703,0.003304,0.00324893,0.00323009,0.00327802,0.00344586,0.00323701,0.0036509,0.00372195,0.00339985,0.00373721,0.00389719,0.00390983,0.00396395,0.0038681,0.00375199,0.00422096,0.00423789,0.00413394,0.00392795,0.00423813,0.00435591,0.00413108,0.0044651,0.00420499,0.00451398,0.00465918,0.0048089,0.00463605,0.00486088,0.00465703,0.00474191,0.0049839,0.00483298,0.00467801,0.00519586,0.00481105,0.00487208,0.00544,0.0053308,0.0054369,0.00530219,0.00558996,0.00559211,0.00526786,0.00554204,0.00581884,0.00538588,0.00536799,0.00594091
8,0.00144196,0.000525951,0.00051403,0.000533104,0.000554085,0.000652075,0.000648975,0.000698805,0.000718832,0.000783205,0.000869036,0.000918865,0.000941992,0.000995874,0.00100398,0.00105095,0.001086,0.00115395,0.0013051,0.00131798,0.00138807,0.00133014,0.00136304,0.0014329,0.00150919,0.00160694,0.00172305,0.001827,0.00181198,0.00185394,0.00185585,0.00191998,0.00188494,0.0020318,0.00201607,0.00209999,0.00221896,0.00208402,0.00233889,0.00220108,0.00247312,0.00235009,0.002321,0.00261593,0.00239611,0.00253606,0.002563,0.00267792,0.00298381,0.00300002,0.00276518,0.00282502,0.00292087,0.003196,0.003021,0.00331807,0.00336409,0.00316501,0.00317502,0.00328708,0.00334406,0.00360489,0.00342607,0.00375915,0.00372005,0.00365615,0.00361896,0.00387883,0.00401115,0.00389791,0.0041368,0.00383496,0.00390983,0.0041821,0.00434995,0.00421596,0.00437784,0.00397491,0.00434303,0.00445199,0.004215,0.00439906,0.00471592,0.00431299,0.00486803,0.00444889,0.00474191,0.00482607,0.00506997,0.00465202,0.00482893,0.005193,0.00514889,0.00527906,0.0052979,0.00492001,0.00521588,0.00536919,0.0053122,0.0056808
16,0.00152898,0.00106502,0.000566006,0.000529051,0.000653982,0.000653028,0.000671864,0.000745058,0.000752926,0.000822067,0.000899076,0.00387502,0.000939131,0.00106502,0.00137687,0.00114012,0.00125217,0.00127006,0.00131798,0.00129604,0.00262809,0.00134301,0.00151491,0.00191998,0.00149608,0.00165987,0.00176001,0.00175118,0.00181103,0.00171995,0.00191188,0.00195813,0.00188589,0.00338197,0.00202298,0.00209999,0.00233293,0.00222206,0.00232697,0.00237298,0.00222516,0.00231719,0.00258088,0.00249791,0.0025351,0.00243902,0.00257802,0.00255799,0.00260615,0.00278497,0.00270486,0.00550103,0.00298214,0.00299692,0.00304389,0.00308108,0.0029161,0.00303197,0.00308514,0.00328302,0.00314283,0.00342917,0.00336099,0.00361109,0.00354505,0.003654,0.00367808,0.00346494,0.00384307,0.00376797,0.00388503,0.00392103,0.00377011,0.00388193,0.00366116,0.00416803,0.00403786,0.00381994,0.00430679,0.00408792,0.00425816,0.00429082,0.00444603,0.00420809,0.00435495,0.00417709,0.00434208,0.00480103,0.00476003,0.00481582,0.00489688,0.00455999,0.00457096,0.00478005,0.00483394,0.00488997,0.00503302,0.00508904,0.00534797,0.00489593
32,0.00203013,0.000640154,0.00105596,0.00100493,0.00101614,0.00315404,0.000968933,0.00102997,0.00103188,0.00101399,0.00103807,0.00134206,0.00144696,0.0027492,0.00170517,0.00137806,0.00138402,0.00132585,0.00163603,0.00550508,0.00154877,0.00150084,0.00154495,0.00198793,0.00191903,0.00178003,0.001827,0.00204706,0.00195789,0.00194812,0.00197506,0.00218487,0.00202799,0.00222206,0.00427604,0.00229907,0.0023241,0.002352,0.00247598,0.00818896,0.0026021,0.00244498,0.00252795,0.00720215,0.00303483,0.00264597,0.00298309,0.00304317,0.0030179,0.0028429,0.00290203,0.00303721,0.00705194,0.00365615,0.00320411,0.00334001,0.00345182,0.00345707,0.00995207,0.00419688,0.00363517,0.00360608,0.0038321,0.00380301,0.0038929,0.00432801,0.00380516,0.00406504,0.00383306,0.00381804,0.00381088,0.00418878,0.004354,0.00441718,0.00429201,0.004354,0.00438118,0.00448298,0.00422192,0.00467396,0.0046711,0.00685811,0.00460005,0.00448799,0.00473714,0.00500703,0.00507998,0.00500607,0.00465798,0.00515795,0.00510907,0.00524879,0.00987792,0.00715089,0.00604892,0.00537014,0.00528097,0.00555396,0.00528789,0.00900483
